audio_filepath,transcript
sounds/common_voice_ja_19534088.wav,国はどちらですか
sounds/common_voice_ja_19534120.wav,きょうは早い時間に家を出ます
sounds/matthew_02-08.wav,そこでヘロデは占星術の学者たちをひそかに呼び寄せ星の現れた時期を確かめた
sounds/common_voice_ja_19683015.wav,不幸にもその大惨事で生き残った乗客はほとんどいなかった
sounds/common_voice_ja_19682731.wav,自分でテーブルを作ります
sounds/common_voice_ja_19580204.wav,風邪の具合はどうですか
sounds/matthew_02-15.wav,占星術の学者たちが帰って行くと主の天使が夢でヨセフに現れて言った起きて子供とその母親を連れてエジプトに逃げわたしが告げるまでそこにとどまっていなさいヘロデがこの子を探し出して殺そうとしている
sounds/matthew_02-21.wav,ラマで声が聞こえた激しく嘆き悲しむ声だラケルは子供たちのことで泣き慰めてもらおうともしない子供たちがもういないから
sounds/common_voice_ja_19507473.wav,彼が新進気鋭の学者と新聞で紹介された男かい
sounds/common_voice_ja_19485246.wav,山田さんはいつも元気ですけれどもきょうは静かです
sounds/common_voice_ja_19492777.wav,ドルペッグの意味は強い国につけということです
sounds/common_voice_ja_19502605.wav,彼女は歩きながら話した
sounds/common_voice_ja_19682151.wav,彼女は本に夢中になっていた
sounds/common_voice_ja_19529152.wav,彼女は僕にやさしい
sounds/common_voice_ja_19763876.wav,不幸な過去は忘れるようにしたほうがよい
sounds/common_voice_ja_19673791.wav,父は私の楽観を乱さないことにした
sounds/common_voice_ja_19507468.wav,祖母の遺灰は寺院に置かれた骨壷に入っている
sounds/common_voice_ja_19537422.wav,父はニューヨークへ旅行することになっています
sounds/common_voice_ja_19507541.wav,父はたくさんたばこを吸います
sounds/common_voice_ja_19620105.wav,冬が長くて辛ければそれだけ歓びも大きいのだ
sounds/common_voice_ja_19485543.wav,父はかかりつけの医師を呼びにいった
sounds/common_voice_ja_19500898.wav,小林さんはそのレストランを知りませんでした
sounds/common_voice_ja_19547328.wav,洋服屋さんは妻と私に半々に言った
sounds/common_voice_ja_19682763.wav,彼女は話す前にせきばらいする癖がある
sounds/matthew_01-04.wav,ユダはタマルによってペレツとゼラをペレツはヘツロンをヘツロンはアラムを
sounds/matthew_01-10.wav,
sounds/common_voice_ja_38413226.wav,セリヌンティウスは無言で首肯うなずきメロスをひしと抱きしめた友と友の間はそれでよかった
sounds/common_voice_ja_19547326.wav,物価は上昇し続けた
sounds/matthew_02-02.wav,イエスはヘロデ王の時代にユダヤのベツレヘムでお生まれになったそのとき占星術の学者たちが東の方からエルサレムに来て
sounds/common_voice_ja_19712370.wav,物価がまた上がるそうだ
sounds/common_voice_ja_19683001.wav,不公平の存在は否認しなかった
sounds/common_voice_ja_19547314.wav,氷が薄いから君の体重では無理だ
sounds/common_voice_ja_19763470.wav,たくさんごはんを食べれば丈夫な体になります
sounds/common_voice_ja_19763931.wav,勝てる試合になぜ勝てそうなピッチャーを先発させないのだろうか
sounds/common_voice_ja_19492761.wav,部屋の電気がつかない
sounds/common_voice_ja_19507460.wav,入試前の夏休みだというのに本ばかり読みふけっていた
sounds/common_voice_ja_19507469.wav,あそこに小さい女の子がいます
sounds/common_voice_ja_19682955.wav,彼女は病気で見る影もなかった
sounds/common_voice_ja_19507433.wav,木村さんに英語を教えます
sounds/common_voice_ja_19547310.wav,官軍に入城を許すとはどういう了見だ
sounds/matthew_02-22.wav,慰めてもらおうともしない子供たちがもういないから
sounds/common_voice_ja_19485599.wav,ムクドリのヒナを親鳥に返せますか
sounds/common_voice_ja_38040712.wav,中村係長は桂君たちの手がらをほめておいて部下のふたりを建物の裏にまわし自分はふたりの制服警官をしたがえてポーチにあがると
sounds/common_voice_ja_19763933.wav,病人は唇をかすかに動かした
sounds/common_voice_ja_19763877.wav,父はちょうど帰宅したところです
sounds/common_voice_ja_19673790.wav,夫はいつもベッドで本を読む
sounds/common_voice_ja_19547340.wav,ここ一ヶ月はほとんど不眠不休の徹夜続きで目が腫れ上がっている
sounds/common_voice_ja_19507449.wav,林さんはコンピューターの会社で働いています
sounds/common_voice_ja_19482479.wav,沸騰している湯に塩を入れなさい
sounds/common_voice_ja_19682894.wav,父は仕事で時々オーストラリアに出かけます
sounds/common_voice_ja_19523284.wav,父はふだんバスで事務所へ行きます
sounds/common_voice_ja_19485884.wav,自然の知恵でよく知っている
sounds/common_voice_ja_19682191.wav,貧血で倒れました
sounds/common_voice_ja_38394792.wav,本船の方へ引っ張り上げようとしているとちょうどそのときハンカチのついた棒を穴から突き出す者があるので
sounds/matthew_01-02.wav,アブラハムの子ダビデの子イエスキリストの系図
sounds/common_voice_ja_38352247.wav,農夫にも痛切なのでその頑固な役人たちは何か秘密の申し合せとか不正とかでもあるのではないかとかぎ廻りその上一人の指導者を見つけ出した
sounds/common_voice_ja_19682822.wav,病気ですか顔が青白いよ
sounds/common_voice_ja_19534086.wav,病院で検査用の血液を採血した
sounds/common_voice_ja_19763930.wav,来週そちらへ行くとき飲み物を買っていきます
sounds/common_voice_ja_19682844.wav,どうぞ皆様も最後の一瞬まで粘り抜いてください
sounds/common_voice_ja_19547313.wav,父の勘定につけといてください
sounds/common_voice_ja_19779198.wav,彼女は病気だったようだ
sounds/common_voice_ja_19682678.wav,支払いは割り勘にしよう
sounds/common_voice_ja_19779199.wav,百合が雨のために打ち倒されてしまった
sounds/common_voice_ja_19485626.wav,副作用はありませんか
sounds/common_voice_ja_19682078.wav,父が病気になったので私たちは医者を呼びにやった
sounds/common_voice_ja_19485875.wav,父は海外にいる間手紙や電話でわれわれと接触し続けた
sounds/common_voice_ja_19547339.wav,彼女は本の絵をノートに書き移した
sounds/common_voice_ja_19485657.wav,彼女は盲人のために募金をしている
sounds/common_voice_ja_19677956.wav,彼女は未だかつて北海道へ行ったことがない
sounds/matthew_01-18.wav,こうして全部合わせるとアブラハムからダビデまで十四代ダビデからバビロンへの移住まで十四代バビロンへ移されてからキリストまでが十四代である
sounds/common_voice_ja_19712366.wav,おととい寒かったので雪が降りました
sounds/common_voice_ja_19507501.wav,物事は中途半端にするな
sounds/common_voice_ja_19534058.wav,部屋の中の人々は何も言わなかった
sounds/matthew_02-17.wav,ヘロデが死ぬまでそこにいたそれはわたしはエジプトからわたしの子を呼び出したと主が預言者を通して言われていたことが実現するためであった
sounds/common_voice_ja_19712331.wav,コーヒーはいかがですか
sounds/matthew_02-19.wav,さてヘロデは占星術の学者たちにだまされたと知って大いに怒ったそして人を送り学者たちに確かめておいた時期に基づいてベツレヘムとその周辺一帯にいた二歳以下の男の子を一人残らず殺させた
sounds/common_voice_ja_19492774.wav,彼女は妹に辞書を買ってやった
sounds/common_voice_ja_19507526.wav,山田さんはお父さんが医者です
sounds/common_voice_ja_19507439.wav,日本には美しい都市が多い例えば京都奈良だ
sounds/common_voice_ja_19763879.wav,一番の人から十番の人まで入ってください
sounds/common_voice_ja_19529151.wav,わたしは外国人に日本語を教えています
sounds/matthew_01-08.wav,ソロモンはレハブアムをレハブアムはアビヤをアビヤはアサを
sounds/common_voice_ja_19485243.wav,わたしはあの人のことを覚えていませんでした
sounds/common_voice_ja_19500968.wav,疲れた少年はぐっすり眠っている
sounds/common_voice_ja_19485556.wav,わたしは学生です
sounds/common_voice_ja_19534040.wav,訴訟リスクの高さも産科医にのしかかる
sounds/common_voice_ja_19682963.wav,田中さんは元気な人です
sounds/common_voice_ja_19507442.wav,どうもありがとうございました
sounds/matthew_01-21.wav,このように考えていると主の天使が夢に現れて言ったダビデの子ヨセフ恐れず妻マリアを迎え入れなさいマリアの胎の子は聖霊によって宿ったのである
sounds/common_voice_ja_19482490.wav,負傷者を病院に運びなさい
sounds/common_voice_ja_19547306.wav,彼女は名前をアンに変えた
sounds/common_voice_ja_19492760.wav,彼女は毛糸でセーターを編んでいる
